country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB","21-02-2026 10:00:00",27.23711,78.01936,NH3,5,6,5
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB","21-02-2026 10:00:00",27.19865833,78.00598056,PM10,57,116,89
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB","21-02-2026 10:00:00",27.19412,77.96237,PM2.5,41,121,69
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB","21-02-2026 10:00:00",27.19412,77.96237,SO2,14,14,14
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB","21-02-2026 10:00:00",27.169338,78.03582,PM2.5,9,92,39
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB","21-02-2026 10:00:00",27.169338,78.03582,CO,6,24,10
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB","21-02-2026 10:00:00",27.19862,77.92066,NH3,3,3,3
India,Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB","21-02-2026 10:00:00",28.964949,77.278761,PM2.5,72,322,213
India,Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB","21-02-2026 10:00:00",28.964949,77.278761,PM10,83,190,142
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB","21-02-2026 10:00:00",28.646233,77.358075,NH3,16,19,17
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB","21-02-2026 10:00:00",28.646233,77.358075,SO2,4,40,21
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB","21-02-2026 10:00:00",28.757294,77.278792,NH3,1,10,4
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB","21-02-2026 10:00:00",28.685382,77.453839,PM2.5,56,324,189
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB","21-02-2026 10:00:00",28.685382,77.453839,NH3,7,12,9
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB","21-02-2026 10:00:00",28.6603346,77.3572563,PM2.5,88,380,226
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB","21-02-2026 10:00:00",28.6603346,77.3572563,PM10,127,325,171
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB","21-02-2026 10:00:00",28.6603346,77.3572563,NO2,28,93,58
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB","21-02-2026 10:00:00",28.6603346,77.3572563,NH3,7,14,11
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB","21-02-2026 10:00:00",28.6603346,77.3572563,CO,26,118,42
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB","21-02-2026 10:00:00",26.730136,83.433859,CO,4,6,4
